Firm,Date,Amount,Category,Notes
FTMO 100K,2026-05-01,540,Challenge fee,2-step evaluation
FTMO 100K,2026-05-29,39,Data fee,
FTMO 100K,2026-06-28,39,Data fee,
FTMO 100K,2026-07-28,39,Data fee,
Topstep 50K,2026-05-07,49,Challenge fee,Monthly eval
Topstep 50K,2026-06-06,49,Challenge fee,
Topstep 50K,2026-07-06,49,Challenge fee,
Topstep 50K,2026-08-01,149,Activation fee,Funded activation
Apex 150K,2026-04-29,167,Challenge fee,
Apex 150K,2026-05-24,167,Reset fee,Blew the eval on news
Apex 150K,2026-06-18,167,Reset fee,
