Type,Firm,Date,Time,Symbol,Side,Entry,Exit,Size,Stop,Target,Fees,Setup,Session,Tags,Notes,Account,Amount,Category,Received Via,Bank Received
trade,,2026-04-27,09:52,GBPUSD,short,1.32159,1.31658,97232,1.32414,1.31676,6,Order Block,New York PM,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",Apex 150K,,,,
trade,,2026-04-28,14:31,XAUUSD,short,2473.13,2464.25,69,2479.68,2463.58,7,SMT,New York AM,A+ setup|Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-04-30,11:12,NQ,short,19944.73,19966.65,27,19967.09,19887.45,4.4,Liquidity Sweep,London,Plan followed,Forced a trade with no real setup.,FTMO 100K,,,,
trade,,2026-05-01,15:04,NQ,short,19842.74,19868.17,22,19861.86,19812.16,4.4,Judas Swing,New York AM,Plan broken,Forced a trade with no real setup.,Apex 150K,,,,
trade,,2026-05-01,10:35,NQ,short,19823.79,19702,22,19868.66,19715.52,4.4,Liquidity Sweep,New York AM,Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-05-01,14:54,EURUSD,short,1.0973,1.0992,81331,1.09928,1.09259,6,MSS,London/NY Overlap,Plan followed,Stopped to the tick before it ran. Entry was early.,FTMO 100K,,,,
trade,,2026-05-04,09:47,EURUSD,short,1.09582,1.09727,221901,1.09731,1.09197,6,FVG,London/NY Overlap,Revenge trade|Plan broken,Chopped out in lunch hours - should not have been trading.,FTMO 100K,,,,
trade,,2026-05-06,09:20,GBPUSD,long,1.31747,1.31375,79149,1.31499,1.32176,6,Order Block,London/NY Overlap,Plan broken,News spike took the stop. Sized correctly so damage contained.,FTMO 100K,,,,
trade,,2026-05-06,10:53,GBPUSD,long,1.31688,1.31481,143762,1.31479,1.32128,6,MSS,New York PM,Revenge trade|Plan broken,News spike took the stop. Sized correctly so damage contained.,FTMO 100K,,,,
trade,,2026-05-06,09:07,XAUUSD,long,2478.5,2490.25,119,2473.58,2491.32,7,Silver Bullet,London,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,FTMO 100K,,,,
trade,,2026-05-07,08:37,GBPUSD,long,1.32235,1.33072,95010,1.31911,1.32994,6,Liquidity Sweep,New York PM,A+ setup|Plan followed,A+ model. No hesitation on entry.,,,,,
trade,,2026-05-07,13:59,XAUUSD,short,2495.33,2504.54,118,2502.79,2484.16,7,Silver Bullet,London/NY Overlap,Plan broken,Moved my stop once. It cost me - never again.,,,,,
trade,,2026-05-07,08:21,XAUUSD,long,2486.48,2479.3,134,2479.39,2500.85,7,FVG,New York PM,Plan followed,Forced a trade with no real setup.,FTMO 100K,,,,
trade,,2026-05-08,14:47,EURUSD,long,1.0945,1.09693,194619,1.09321,1.09697,6,Silver Bullet,New York PM,Revenge trade|Plan broken,SMT divergence confirmed the reversal. Held to target.,FTMO 100K,,,,
trade,,2026-05-08,11:32,XAUUSD,long,2495.23,2503.95,77,2490.24,2504.98,7,FVG,London,A+ setup|Plan followed,"Clean sweep of Asia low, entered on the retrace.",Topstep 50K,,,,
trade,,2026-05-11,13:33,GBPUSD,long,1.3086,1.31284,72971,1.3069,1.31349,6,SMT,New York PM,Plan followed,"Partialed at 2R, runner to full target.",FTMO 100K,,,,
trade,,2026-05-12,15:01,NQ,long,19916.84,19949.91,21,19900.05,19948.28,4.4,Order Block,London/NY Overlap,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,FTMO 100K,,,,
trade,,2026-05-12,14:18,ES,short,5650.83,5657.23,53,5656.96,5636.53,4.2,SMT,New York PM,Plan followed,Forced a trade with no real setup.,Topstep 50K,,,,
trade,,2026-05-13,09:52,GBPUSD,short,1.30903,1.30105,137793,1.31179,1.30184,6,MSS,London/NY Overlap,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",Topstep 50K,,,,
trade,,2026-05-14,08:50,ES,short,5656.83,5639.84,61,5663.03,5641.11,4.2,MSS,London,Plan followed,SMT divergence confirmed the reversal. Held to target.,,,,,
trade,,2026-05-14,08:05,GBPUSD,short,1.31247,1.3061,54332,1.31486,1.30649,6,SMT,London/NY Overlap,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",FTMO 100K,,,,
trade,,2026-05-20,09:15,GBPUSD,short,1.30517,1.30997,98018,1.30845,1.29855,6,MSS,New York AM,Plan broken,News spike took the stop. Sized correctly so damage contained.,Apex 150K,,,,
trade,,2026-05-22,14:20,NQ,long,20044.68,20087.14,22,20019.46,20090.88,4.4,SMT,London/NY Overlap,A+ setup|Plan followed,Waited for the open drive to settle - textbook.,Topstep 50K,,,,
trade,,2026-05-22,14:29,ES,short,5622.3,5613.75,69,5627.4,5614.4,4.2,Order Block,New York PM,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",,,,,
trade,,2026-05-22,15:31,ES,short,5636.24,5622.69,35,5641.32,5623.09,4.2,Judas Swing,New York PM,A+ setup|Plan followed,Waited for the open drive to settle - textbook.,Apex 150K,,,,
trade,,2026-05-27,08:59,GBPUSD,long,1.32125,1.32709,58746,1.31846,1.32769,6,MSS,New York PM,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,FTMO 100K,,,,
trade,,2026-05-27,11:15,EURUSD,long,1.09873,1.09603,94596,1.09604,1.10418,6,FVG,London/NY Overlap,Plan followed,Chopped out in lunch hours - should not have been trading.,Topstep 50K,,,,
trade,,2026-05-28,12:32,XAUUSD,long,2510.47,2534.89,55,2502.06,2533.79,7,MSS,New York AM,Plan followed,SMT divergence confirmed the reversal. Held to target.,Topstep 50K,,,,
trade,,2026-06-01,11:02,EURUSD,long,1.09558,1.10278,140262,1.09307,1.10329,6,MSS,New York AM,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",Topstep 50K,,,,
trade,,2026-06-03,11:36,GBPUSD,long,1.31165,1.3167,118189,1.30833,1.31667,6,Judas Swing,London/NY Overlap,Plan followed,A+ model. No hesitation on entry.,,,,,
trade,,2026-06-03,13:46,GBPUSD,short,1.31177,1.3135,137429,1.31359,1.30893,6,SMT,New York AM,Plan followed,Moved my stop once. It cost me - never again.,FTMO 100K,,,,
