Date,Time,Symbol,Side,Entry,Exit,Size,Stop,Target,Fees,Setup,Session,Tags,Notes
2026-07-02,10:47,ES,Long,5655.77,5648.05,1,5647.27,5673.73,5.54,Silver Bullet,London,Plan followed,
2026-07-03,10:17,GBPUSD,Short,1.2868,1.2896,68210,1.2898,1.2793,3.09,Order Block,Asia,,
2026-07-03,10:22,XAUUSD,Long,2490.7,2502.38,8,2473.7,2534.07,8.81,FVG,Asia,Plan followed,
2026-07-14,09:17,XAUUSD,Long,2461.55,2478.59,7,2448.55,2498.0,6.26,Order Block,London,Plan followed,
2026-07-16,08:14,GBPUSD,Long,1.2873,1.2964,87170,1.2793,1.3053,8.13,Silver Bullet,New York PM,Plan followed,
2026-07-20,08:47,EURUSD,Long,1.086,1.0814,73723,1.0814,1.0984,3.54,Liquidity Sweep,New York AM,,
2026-07-20,08:09,GBPUSD,Short,1.2799,1.2883,89052,1.2879,1.2602,8.97,FVG,London,,
2026-07-20,10:56,GBPUSD,Long,1.2764,1.2702,120730,1.2718,1.2872,5.18,Silver Bullet,London,FOMO|Plan broken,Forced it after two stops. Should have walked away.
2026-07-20,12:19,GBPUSD,Long,1.2881,1.2813,170696,1.2819,1.3062,8.67,SMT,London,Revenge trade,Forced it after two stops. Should have walked away.
2026-07-20,12:59,GBPUSD,Short,1.2698,1.2776,110322,1.2778,1.2454,2.6,MSS,London,FOMO|Plan broken,Forced it after two stops. Should have walked away.
2026-07-23,08:59,EURUSD,Long,1.0853,1.0771,94019,1.0777,1.1041,6.55,Liquidity Sweep,Asia,,
2026-07-24,10:35,ES,Long,5544.74,5566.91,1,5533.74,5567.52,8.34,Liquidity Sweep,London,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-07-28,10:59,EURUSD,Long,1.0964,1.1107,62478,1.0898,1.116,2.66,SMT,New York AM,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-07-30,10:21,NQ,Long,20029.0,20064.3,2,19993.0,20120.38,3.28,FVG,Asia,,
2026-08-03,08:59,GBPUSD,Long,1.2847,1.2916,76282,1.2803,1.2946,8.32,FVG,London,Plan followed,
2026-08-03,09:27,NQ,Short,19967.07,20046.03,1,20043.07,19749.55,3.33,Liquidity Sweep,Asia,Plan followed,
2026-08-03,09:03,NQ,Long,19900.13,19836.1,1,19838.13,20028.36,7.96,Silver Bullet,New York PM,Plan followed,
2026-08-04,10:38,EURUSD,Long,1.069,1.075,67089,1.0656,1.0779,3.43,SMT,New York AM,,
2026-08-04,12:41,ES,Short,5556.46,5570.63,3,5568.96,5531.32,8.99,MSS,New York AM,,
2026-08-04,12:59,NQ,Long,19760.08,19726.34,2,19726.08,19834.52,6.28,SMT,New York PM,,
2026-08-06,08:56,XAUUSD,Long,2435.94,2454.56,15,2419.94,2471.98,3.43,Order Block,New York PM,,
2026-08-06,08:40,XAUUSD,Short,2459.35,2444.78,13,2470.85,2434.54,3.13,Liquidity Sweep,London,,
2026-08-06,10:57,EURUSD,Long,1.0726,1.0693,58352,1.0694,1.0796,2.29,FVG,London,Plan followed,
2026-08-11,10:47,ES,Long,5532.07,5519.49,2,5521.07,5564.77,2.17,Liquidity Sweep,Asia,,
2026-08-12,09:55,ES,Short,5512.64,5479.14,2,5527.64,5474.35,7.74,Order Block,London,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-08-12,10:21,ES,Long,5552.87,5544.63,2,5544.37,5576.41,6.76,FVG,New York AM,,
2026-08-12,10:37,XAUUSD,Long,2499.2,2519.82,15,2487.7,2526.97,5.05,FVG,New York PM,,
2026-08-12,11:02,NQ,Short,19974.33,19907.94,1,20004.33,19889.6,4.55,SMT,New York AM,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-08-12,13:54,NQ,Short,19626.46,19533.64,2,19674.46,19511.67,5.88,SMT,New York PM,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-08-13,09:35,EURUSD,Long,1.0949,1.1019,92906,1.0901,1.1078,4.26,SMT,New York PM,,
2026-08-13,11:05,ES,Short,5553.74,5571.45,1,5571.74,5500.06,6.71,Silver Bullet,New York AM,Plan followed,
2026-08-14,09:26,ES,Short,5654.76,5621.88,1,5671.26,5611.97,3.03,SMT,London,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-08-24,08:29,GBPUSD,Short,1.261,1.2677,99496,1.2668,1.2453,8.24,FVG,New York AM,,
2026-08-24,08:47,GBPUSD,Short,1.2888,1.2825,84163,1.2946,1.2728,5.39,SMT,Asia,Plan followed,
2026-08-24,08:17,EURUSD,Long,1.0787,1.0845,60014,1.0723,1.0944,6.94,Silver Bullet,New York PM,Plan followed,
2026-08-25,09:57,EURUSD,Long,1.0928,1.1103,81259,1.0854,1.1127,2.04,Order Block,Asia,A+ setup|Plan followed,"Clean sweep into the level, held to target."
2026-08-25,11:47,XAUUSD,Short,2482.35,2501.45,18,2502.35,2437.08,5.4,MSS,Asia,Plan followed,
